Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
0.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.022
2.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
3.999,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
6.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
9.998999999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
14.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.986
16.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.986
18.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.986
22.001,258.7,5778.6,177.7,1.234,1.181,64.329,0.986
24.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.986
26.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.986
28.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
32.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
33.999,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
37.998999999999995,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
40.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
42.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
44.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
46.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
48.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
50.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
52.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
55.999,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
59.998999999999995,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
62.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
64.00200000000001,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
66.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
68.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
70.00099999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
72.00099999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
74.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
76.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
78.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
80.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
84.002,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
86.00099999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
88.00099999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
90.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
92.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
94.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
96.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
98.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
100.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
104.002,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
108.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
112.003,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
116.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
118.00099999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
120.00099999999999,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
124.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
126.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
128.002,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
132.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
134.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
136.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
138.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
140.012,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
142.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
144.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
148.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
150.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
154.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.057
158.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
162.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
166.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
168.001,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
170.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
172.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
174.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
178.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
180.014,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
184.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
186.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
188.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
190.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
192.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
194.00400000000002,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
196.00300000000001,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
198.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
200.0,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
204.00099999999998,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
206.00099999999998,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
208.001,258.7,5778.6,177.7,1.234,1.181,64.329,0.951
210.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.951
212.0,258.7,5778.6,177.7,1.234,1.181,64.329,0.951
214.008,258.7,5778.6,177.7,1.234,1.181,64.329,0.951
216.008,258.7,5778.6,177.7,1.234,1.181,64.329,0.951
218.008,258.7,5778.6,177.7,1.234,1.181,64.329,0.951
220.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.022
222.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.022
224.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.022
228.00799999999998,258.7,5778.6,177.7,1.234,1.181,64.329,1.022
230.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.022
232.003,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
234.00799999999998,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
236.00799999999998,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
238.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
242.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
244.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.021
246.00900000000001,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
250.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
254.008,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
258.004,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
260.00800000000004,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
262.00800000000004,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
264.00800000000004,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
266.009,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
268.00800000000004,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
270.00800000000004,258.7,5778.6,177.7,1.234,1.181,64.329,1.163
272.01,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
276.007,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
278.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
280.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
282.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
284.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
286.007,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
288.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
292.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
294.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
298.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
302.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
304.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
306.00699999999995,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
308.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
312.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.233
314.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.233
316.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.233
320.003,258.7,5778.6,177.7,1.234,1.181,64.329,1.233
322.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
324.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
326.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
330.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
332.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.128
336.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
338.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
340.003,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
342.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
344.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
348.007,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
350.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
352.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
354.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
356.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
358.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.092
360.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
362.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
364.006,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
368.00500000000005,258.7,5778.6,177.7,1.234,1.181,64.329,1.127
372.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
374.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
376.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
378.00600000000003,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
380.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
382.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
384.005,258.7,5778.6,177.7,1.234,1.181,64.329,1.198
386.007,258.7,5778.6,177.7,1.234,1.181,64.329,1.162
388.005,258.7,5778.5,177.7,1.234,1.181,64.329,1.162
390.00600000000003,258.7,5778.5,177.7,1.234,1.181,64.329,1.162
394.005,258.7,5778.5,177.7,1.234,1.181,64.329,1.162
398.00600000000003,258.7,5778.5,177.7,1.234,1.181,64.329,1.022
400.006,258.7,5778.5,177.7,1.234,1.181,64.329,1.022
402.006,258.7,5778.5,177.7,1.234,1.181,64.329,1.022
404.006,258.7,5778.5,177.7,1.234,1.181,64.329,1.022
406.006,258.7,5778.5,177.7,1.234,1.181,64.329,1.022
408.006,258.7,5778.5,177.7,1.234,1.181,64.329,1.022
412.005,258.7,5778.5,177.7,1.234,1.181,64.329,1.163
414.005,258.7,5778.5,177.7,1.234,1.181,64.329,1.163
418.005,258.7,5778.5,177.7,1.234,1.181,64.329,1.163
422.005,258.7,5778.5,177.7,1.234,1.181,64.329,1.163
