Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
0.0,258.8,5804.4,177.9,1.234,1.181,64.329,1.021
2.0,258.8,5804.4,177.9,1.234,1.181,64.329,1.021
4.002999999999999,258.8,5804.4,177.9,1.234,1.181,64.329,1.021
6.0,258.8,5804.4,177.9,1.234,1.181,64.329,1.057
8.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
10.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
12.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
14.003,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
16.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
17.999000000000002,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
22.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
26.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
28.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.057
30.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
32.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
36.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
38.001,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
40.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
44.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
46.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
50.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
54.002,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
56.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
58.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
60.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
62.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
66.008,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
70.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
72.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
74.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
76.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.987
80.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
82.00200000000001,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
86.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
88.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
90.0,258.7,5804.4,177.9,1.234,1.181,64.329,1.022
94.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
96.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
98.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
100.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
102.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
104.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.951
106.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.986
108.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.986
110.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.986
114.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.986
116.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.986
118.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.986
120.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.881
122.009,258.7,5804.4,177.9,1.234,1.181,64.329,0.881
124.001,258.7,5804.4,177.9,1.234,1.181,64.329,0.881
126.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.881
128.0,258.7,5804.4,177.9,1.234,1.181,64.329,0.881
