Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
212.762,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
214.812,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
218.84300000000002,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.268
222.841,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
226.84099999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
228.84199999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
230.84099999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
232.846,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
234.849,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
236.84,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
238.84,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
242.038,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
246.108,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.162
249.14,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
251.12099999999998,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
253.137,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
257.181,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
259.139,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.092
261.121,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
263.138,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
265.125,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
267.122,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
269.121,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
271.14,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
273.12199999999996,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
275.147,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.091
279.22200000000004,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.197
281.327,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.197
283.36699999999996,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.197
285.379,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.197
287.35699999999997,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.197
289.36,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.232
291.372,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.232
293.36,-241.1,-776.5,177.9,1.234,1.181,-1.206,1.232
295.359,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
297.39799999999997,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
301.35699999999997,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
303.348,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
307.439,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
311.69599999999997,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.091
315.702,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
319.733,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
323.76300000000003,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
327.76300000000003,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
329.759,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
333.763,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
337.844,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
342.066,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.268
345.21000000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
349.211,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
351.209,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
353.209,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
355.21000000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.233
357.209,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
359.21,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
361.21,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
363.21,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
365.207,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.127
369.193,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
373.214,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
375.214,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
377.21,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
379.21,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
381.211,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.162
383.255,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
385.20500000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
389.209,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
391.206,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
393.19399999999996,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
395.216,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.126
398.291,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
400.40999999999997,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
402.44,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
404.44,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
406.435,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
408.43800000000005,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.197
410.435,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
412.42400000000004,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
416.44100000000003,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
420.428,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.232
422.433,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
424.43199999999996,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
426.437,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
428.437,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
430.43399999999997,-241.1,-776.5,177.8,1.234,1.181,-1.206,1.267
