Time(ms),TCP_x(mm),TCP_y(mm),TCP_z(mm),TCP_rx(mm),TCP_ry(mm),TCP_rz(mm),Robot_I(A)
0.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
3.999,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
8.001,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
10.001,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
11.998999999999999,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
14.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
16.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
17.999000000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.056
20.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.056
22.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.056
26.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.056
28.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.056
31.999,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
34.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
36.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
38.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
40.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
42.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
44.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
46.001,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
50.001,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
54.002,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
56.001000000000005,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
58.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
60.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
62.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
64.001,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
66.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
68.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
72.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
76.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
78.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
82.0,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
84.001,258.9,5752.4,177.9,1.234,1.181,64.329,0.916
86.002,258.9,5752.4,177.9,1.234,1.181,64.329,0.916
88.002,258.9,5752.4,177.9,1.234,1.181,64.329,0.916
90.002,258.9,5752.4,177.9,1.234,1.181,64.329,0.916
92.002,258.9,5752.4,177.9,1.234,1.181,64.329,0.916
94.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.916
98.0,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
102.00099999999999,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
104.002,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
106.002,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
108.002,258.9,5752.4,177.9,1.234,1.181,64.329,1.021
110.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.021
114.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.021
116.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.021
120.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
124.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
126.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
128.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
130.005,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
132.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
134.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
136.00300000000001,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
140.003,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
142.003,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
144.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
148.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
150.003,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
154.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
156.005,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
158.005,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
160.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
162.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
164.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
168.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
172.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
174.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
176.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
178.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
180.005,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
182.005,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
184.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
186.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
188.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
190.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
194.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.057
198.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
200.012,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
202.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
204.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
206.012,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
208.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
210.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
214.005,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
216.008,258.9,5752.4,177.9,1.234,1.181,64.329,1.092
220.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.951
222.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.951
224.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.951
226.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.951
228.00400000000002,258.9,5752.4,177.9,1.234,1.181,64.329,0.951
230.004,258.9,5752.4,177.9,1.234,1.181,64.329,0.951
234.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
236.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
240.012,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
242.004,258.9,5752.4,177.9,1.234,1.181,64.329,1.022
244.004,258.9,5752.4,177.9,1.234,1.181,64.329,0.986
